Object,ComboKey,PriceListSFID,ProductSFID,AccountSFID,ExistingRecordID,CurrentPrice,NewPrice,Action,SFResult,FailureReason
Price_List_Entry__c,ACC-V900X - DSDIST - USD,a1U2K000009nrhRUAQ,01t6A000000ar5BQAQ,,a1W2K00000FiQgtUAF,118.67,118.670000,UPDATE,,
Price_List_Entry__c,ACC-V900X - DSSPEC - USD,a1U2K000009nrk4UAA,01t6A000000ar5BQAQ,,a1W2K00000FiQgvUAF,112.41,112.410000,UPDATE,,
Price_List_Entry__c,ACC020 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000aqyTQAQ,,a1W2K00000FiR5gUAF,105.39,105.390000,UPDATE,,
Price_List_Entry__c,ACC020 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000aqyTQAQ,,a1W2K00000FiR5iUAF,82.72,82.720000,UPDATE,,
Price_List_Entry__c,ACC020 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000aqyTQAQ,,a1W2K00000FiR5fUAF,78.72,78.720000,UPDATE,,
Price_List_Entry__c,ACC020 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000aqyTQAQ,,a1W2K00000FiR5hUAF,74.7,74.700000,UPDATE,,
Price_List_Entry__c,ACC050 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000ar20QAA,,a1W2K00000FiR5kUAF,71.22,71.220000,UPDATE,,
Price_List_Entry__c,ACC050 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000ar20QAA,,a1W2K00000FiR5mUAF,56.22,56.220000,UPDATE,,
Price_List_Entry__c,ACC050 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000ar20QAA,,a1W2K00000FiR5lUAF,53.41,53.410000,UPDATE,,
Price_List_Entry__c,ACC050 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000ar20QAA,,a1W2K00000FiR5jUAF,50.74,50.740000,UPDATE,,
Price_List_Entry__c,ACC109 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000arCAQAY,,a1W2K00000FiRKiUAN,53.9,53.900000,UPDATE,,
Price_List_Entry__c,ACC109 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000arCAQAY,,a1W2K00000FiRKkUAN,41.8,41.800000,UPDATE,,
Price_List_Entry__c,ACC109 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000arCAQAY,,a1W2K00000FiRKjUAN,39.6,39.600000,UPDATE,,
Price_List_Entry__c,ACC109 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000arCAQAY,,a1W2K00000FiRKhUAN,38.5,38.500000,UPDATE,,
Price_List_Entry__c,ACC120 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000at3jQAA,,a1W2K00000FiR8iUAF,113.39,113.390000,UPDATE,,
Price_List_Entry__c,ACC120 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000at3jQAA,,a1W2K00000FiR8lUAF,89.39,89.390000,UPDATE,,
