Action,PartNumber,Name,Description,IsActive,ItemStatus,SalesUnit,Authorization,PriceGroup,PLCM,Category,SF_Id
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547B-3,KIP547B-3,"47"" Portrait Back-to-Back Kiosk for 3in Deep Displays",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asGlQAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547B-3-EUK,KIP547B-3-EUK,"47"" Portrait Back To Back Kiosk For 3in Deep Displays",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arZkQAI
"UPDATE (US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP547B-EUK,KIP547B-EUK,"47"" Portrait Back to Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asvwQAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547B-S,KIP547B-S,"47"" Portrait Back-to-Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asnTQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547B-S-3,KIP547B-S-3,"47"" Portrait Back-to-Back Kiosk for 3in Deep Displays",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asGpQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547B-S-3-EUK,KIP547B-S-3-EUK,"47"" Portrait Back To Back Kiosk For 3in Deep Displays",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arZlQAI
"UPDATE (US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP547B-S-EUK,KIP547B-S-EUK,"47"" Portrait Back to Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arJBQAY
"UPDATE (US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP547-EUK,KIP547-EUK,"47"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asGwQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP547-S-EUK,KIP547-S-EUK,"47"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asGxQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547-TW,KIP547-TW,"47"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arTDQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP548,KIP548,"48"" Indoor Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000atL7QAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP548B-EUK,KIP548B-EUK,"48"" Portrait Back-to-Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arJCQAY
"UPDATE (US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP548B-S-EUK,KIP548B-S-EUK,"48"" Portrait Back-to-Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arJDQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP548-EUK,KIP548-EUK,"48"" Indoor Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000aszYQAQ
INSERT,KIP548-RAL9007-DIV,KIP548-RAL9007-DIV,48” Floor standing portrait kiosk with hex screws to lock maximum display depth 4”,True,No Purchases,EA,False,ET DD,Use Up,KIOSK,
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP548-S,KIP548-S,"48"" Indoor Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000atL8QAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP548-S-EUK,KIP548-S-EUK,"48"" Indoor Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000as8YQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP549-RAL9007-DIV,KIP549-RAL9007-DIV,"49"" Portrait Kiosk custom RAL9007",True,No Request,EA,False,ET DD,Use Up,KIOSK,01t6A000002iLuaQAE
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP555B,KIP555B,"55"" Portrait Back-to-Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asnVQAQ
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP555B-EUK,KIP555B-EUK,"55"" Portrait Back to Back Kiosk",True,No Purchases,EA,False,ET DD,Use Up,KIOSK,01t6A000000ar98QAA
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP555B-S-EUK,KIP555B-S-EUK,"55"" Portrait Back to Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000atPUQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP555-EUK,KIP555-EUK,"55"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arYsQAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP555-S-EUK,KIP555-S-EUK,"55"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arYtQAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP565-DMG-AD,KIP565-DMG-AD,Indoor Floor Standing Back-to-Back Advertising Player Kiosk for CBL,True,No Purchases,EA,False,ET DD,Use Up,KIOSK,01t6A000003QQbcQAG
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c)",KIP565-DMG-DIR,KIP565-DMG-DIR,Indoor Floor Standing Back-to-Back Directory Kiosk for CBL,True,Active,EA,False,KIOSK,Active,KIOSK,01t6A000003QQbdQAG
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-1LG,KIP586-1LG,Single Sided Portrait-in-Portrait Kiosk,False,Inactive,EA,False,KIOSK,Use Up,KIOSK,01t6A000000arIMQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",KIP586-1LG-EUK,KIP586-1LG-EUK,Single Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000atK3QAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",KIP586-1LG-S-EUK,KIP586-1LG-S-EUK,Single Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000atK4QAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-2LG,KIP586-2LG,Two Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Use Up,KIOSK,01t6A000000arILQAY
INSERT,KIP586-2LG-BRONZE-EUK,KIP586-2LG-BRONZE-EUK,Two Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-2LG-EUK,KIP586-2LG-EUK,Two Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t6A000000atRkQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-2LG-S,KIP586-2LG-S,Two Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000arIOQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",KIP586-2LG-S-EUK,KIP586-2LG-S-EUK,Two Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000atRlQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-2LG-W,KIP586-2LG-W,KIP586-2LG in white for Synnex,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000002ga09QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-3LG,KIP586-3LG,Three Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Use Up,KIOSK,01t6A000000arIKQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-3LG-EUK,KIP586-3LG-EUK,Three Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t6A000000atRnQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-3LG-S,KIP586-3LG-S,Three Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000arIPQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",KIP586-3LG-S-EUK,KIP586-3LG-S-EUK,Three Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000atRmQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-4LG,KIP586-4LG,Four Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Use Up,KIOSK,01t6A000000aqfkQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-4LG-EUK,KIP586-4LG-EUK,Four Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t6A000000atRoQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP586-4LG-S,KIP586-4LG-S,Four Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000aruFQAQ
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",KIP586-4LG-S-EUK,KIP586-4LG-S-EUK,Four Sided Portrait-in-Portrait Kiosk,True,No Purchases,EA,False,KIOSK,Use Up,KIOSK,01t6A000000atRpQAI
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-1LG-S,KIP588-1LG-S,Single Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2C2QAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-1LG-S-EUK,KIP588-1LG-S-EUK,Single Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2HIQA0
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-2LG-S,KIP588-2LG-S,Two Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2DjQAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-2LG-S-EUK,KIP588-2LG-S-EUK,Two Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2FcQAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-3LG-S,KIP588-3LG-S,Three Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2JIQA0
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-3LG-S-EUK,KIP588-3LG-S-EUK,Three Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2KyQAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-4LG-S,KIP588-4LG-S,Four Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2C3QAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c)",KIP588-4LG-S-EUK,KIP588-4LG-S-EUK,Four Sided Portrait-in-Portrait Kiosk,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2HLQA0
