Action,PartNumber,Name,Description,IsActive,ItemStatus,SalesUnit,Authorization,PriceGroup,PLCM,Category,SF_Id
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_Authorization_Required__c, US_Price_Group_Name__c)",SUF660P-M,SUF660P-M,PEERLESS SUF660P-M SLIM FLAT 40-80,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asd1QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",SUF661,SUF661,"Universal Ultra Slim Flat Wall Mount For 40"" to 80"" Ultra-thin TV's",True,Active,EA,True,CORE,Active,MOUNT,01t6A000000asldQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TTS4X4,TTS4X4,Table Top TV Stand - 400 x 400,True,Active,EA,True,RETAIL,Active,MOUNT,01t2K000004ZdRwQAK
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TTS6X4,TTS6X4,Table Top TV Stand - 600 x 400,True,Active,EA,True,RETAIL,Active,MOUNT,01t2K000006XLSZQA4
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TVA724,TVA724,"TVX V100 FMPLUS 10-29"" NONSEC",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000ar9HQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVA737,TVA737,"ARTICULATING MOUNT 22""-43""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000atWkQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVA746,TVA746,"ARTICULATING MOUNT 32""-50""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000atY4QAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TVA750,TVA750,"TruVue UNIV ART MOUNT 32-50""+ NONSEC",True,Active,EA,True,RETAIL,Active,MOUNT,01t2K00000AoidSQAR
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TVA765,TVA765,"TVX UNIV FMPLUS 42-75"" NONSEC",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000ar9IQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TVA775,TVA775,"TruVue UNIV ART MOUNT 50-75""+ NONSEC",True,Active,EA,True,RETAIL,Active,MOUNT,01t2K00000AoidmQAB
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVF624,TVF624,"FLAT MOUNT 10""-29""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000arHCQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVF637,TVF637,"FLAT MOUNT 22-43""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000atWcQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVF646,TVF646,"FLAT MOUNT 32""-50""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000at8PQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVF665,TVF665,"FLAT MOUNT 42""-75""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000atDCQAY
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_Authorization_Required__c, US_Price_Group_Name__c)",TVF665B,TVF665B,"TVX UNIV FLAT BLK 42-75"" NONSEC with 3m HDMI Cable",True,Active,EA,False,CORE,Active,MOUNT,01t2K000006S2EPQA0
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TVFT650,TVFT650,"TruVue UNIV FLAT/TILT MOUNT 32-50""+ NONSEC",True,Active,EA,True,RETAIL,Active,MOUNT,01t2K00000AoidXQAR
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TVFT665,TVFT665,"TruVue UNIV FLAT/TILT MOUNT 50-65""+ NONSEC",True,Active,EA,True,RETAIL,Active,MOUNT,01t2K00000AoidcQAB
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",TVFT690,TVFT690,"TruVue UNIV FLAT/TILT MOUNT 65-90""+ NONSEC",True,Active,EA,True,RETAIL,Active,MOUNT,01t2K00000AoidNQAR
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVP724,TVP724,"PIVOT MOUNT 10""-29""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000arHDQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVP737,TVP737,"PIVOT MOUNT 22""-43""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000asEKQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVT624,TVT624,"TILT MOUNT 10""-29""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000arHEQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVT637,TVT637,"TVX V200 TILT BLK 22-40"" NONSEC",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000ar9JQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVT646,TVT646,"TILT MOUNT 32""-50""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000ar9KQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",TVT665,TVT665,"TILT MOUNT 42""-75""",True,No Request,EA,False,RETAIL,Use Up,MOUNT,01t6A000000asEJQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",VCM580,VCM580,"Video Conferencing Solution for 55"" to 80"" Displays",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqnxQAA
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",VCM580S-4RU,VCM580S-4RU,Single Display Floor to Wall VC Stand inc x1 2RU Rack,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000boI5QAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",WSP716-GB,WSP716-GB,"Triple Metal stud wall plate For PLA Series, 16"" stud centers",True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000arwMQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",WSP724-GB,WSP724-GB,"Triple Metal stud wall plate For PLA Series, 16"", 20"", 24"" stud centers",True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000arwNQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",WSP816,WSP816,Metal Stud Wall Plate For SP-850 and FPS-1000 Wall Mounts,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arEQQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",WSP820,WSP820,Metal Stud Wall Plate For SP-850 and FPS-1000 Wall Mounts,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asHVQAY
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",125-0611,125-0611,SPEAKER MICROPHONE WX-CS560 (SET OF 1),True,Active,EA,False,KIOSK,,,01t2K000006SsWVQA0
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-0016,150-0016,"BASE, PORTRAIT, 46/47/55 KIOSK",True,Active,EA,False,ET DD,,,01t6A000000arV8QAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-0029,150-0029,"DOOR, PORTRAIT, FRONT 55 KIOSK",True,No Request,EA,False,ET DD,,,01t6A000000aqjZQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-0040,150-0040,"LEG WELDMENT, PORTRAIT, 55 KIOSK",True,Active,EA,False,ET DD,,,01t6A000000ar7nQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",150-0105,150-0105,"DOOR LATCH, RIGHT, LAND. FOR KIL5XX KIOSKS",True,Active,EA,False,KIOSK,,,01t6A000000aqolQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",150-0106,150-0106,"DOOR LATCH, LEFT, LAND. FOR KIL5XX KIOSKS",True,Active,EA,False,KIOSK,,,01t6A000000aqomQAA
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",150-0113,150-0113,"PROP BAR, CATCH FOR KIL5XX, KIL6XX, KIP6XX KIOSKS",True,Active,EA,False,KIOSK,,,01t6A000000asi2QAA
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-0190,150-0190,"TOP SUPPORT, DUAL FAN FOR KIL555 KIOSK",True,Active,EA,False,ET DD,,,01t6A000000aqjaQAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-0379,150-0379,"DOOR, PORTRAIT, FRONT 42 KIOSK, 3"" DEEP",True,No Request,EA,False,ET DD,,,01t6A000000ascYQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c)",150-4019,150-4019,"DOOR, PORTRAIT,FRONT 46 KIOSK, SLV",True,Active,EA,False,ET DD,,,01t6A000000asi4QAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-4032,150-4032,"BASE, PORTRAIT, 40/42 KIOSK, SLV",True,Active,EA,False,ET DD,,,01t6A000000asBLQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-4038,150-4038,"DOOR, PORTRAIT, REAR 40/42 KIOSK, SLV",True,Active,EA,False,ET DD,,,01t6A000000arfGQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-4039,150-4039,"DOOR, PORTRAIT, FRONT 42 KIOSK, SLV",True,Active,EA,False,ET DD,,,01t6A000000arfFQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",150-4125,150-4125,"COVER, TOP, WELDMENT FOR KIL542 KIOSK, SLV",True,Active,EA,False,KIOSK,,,01t6A000000atbQQAQ
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-4378,150-4378,"DOOR, PORTRAIT, FRONT 46 KIOSK, 3"" DEEP  SLV",True,Active,EA,False,ET DD,,,01t6A000000asyVQAQ
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-4580P,150-4580P,"COVER, FRONT FOR KIL755,SLV",True,Active,EA,False,ET DD,,,01t2K000006NZcIQAW
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",150-4934,150-4934,"DOOR, PORTRAIT, FRONT 48 KIOSK, SLV",True,Active,EA,False,KIOSK,,,01t2K000006S2LeQAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-6316,150-6316,"22"" SHROUD FOR THE 22"" KIOSK WALL MART GREEN",True,Active,EA,False,ET DD,,,01t6A000000aqoMQAQ
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-P1030,150-P1030,"DOOR, PORTRAIT, REAR 55 KIOSK, GBLK",True,Active,EA,False,ET DD,,,01t6A000000arl8QAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-P1038,150-P1038,"DOOR, PORTRAIT, REAR 40/42 KIOSK, GBLK",True,Active,EA,False,ET DD,,,01t6A000000arY6QAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-P1039,150-P1039,"DOOR, PORTRAIT, FRONT 42 KIOSK, GBLK",True,Active,EA,False,ET DD,,,01t6A000000arfEQAQ
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",150-P1379,150-P1379,"DOOR, PORTRAIT, FRONT 42 KIOSK, 3"" DEEP  BLK",True,Active,EA,False,KIOSK,,,01tPW00000EtlhVYAR
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-P1580P,150-P1580P,"COVER, FRONT FOR KIL755,BLK",True,Active,EA,False,ET DD,,,01t2K000006NZcDQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",150-T1005,150-T1005,"BRACKET, PORTRAIT, SCREEN SUPPORT, SIDE, TBLK",True,Active,EA,False,ET DD,,,01t2K000006NaTbQAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_Authorization_Required__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",150-T1013,150-T1013,"LOCK CATCH, KIOSKS, PORTRAIT, TBLK",True,Active,EA,False,KIOSK,,,01t2K000006SsnqQAC
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",150-T1105,150-T1105,"DOOR LATCH, RIGHT, LAND. FOR KIL5XX KIOSKS, BLK",True,Active,EA,False,KIOSK,,,01t6A000000aqr5QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",150-T1106,150-T1106,"DOOR LATCH, LEFT, LAND. FOR KIL5XX KIOSKS, BLK",True,Active,EA,False,KIOSK,,,01t6A000000aqr6QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",150-T1113,150-T1113,PROP CATCH BAR FOR LANDSCAPE KIOSK,True,Active,EA,False,KIOSK,,,01t6A000000aqonQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-0498,151-0498,CHARGING CUP VOLTA CHARGING STATION,True,Active,EA,False,KIOSK,,,01t6A000000arEJQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-0693P,151-0693P,"KIPC2 65"" MEDIA TRAY",True,Active,EA,False,ET DD,,,01t6A000000arRBQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-0715P,151-0715P,"KIPC2 40-43"" 3.375"" BOTTOM DOOR",True,Active,EA,False,ET DD,,,01t2K000006KDjPQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-4553,151-4553,"KIPC2 55"" FRONT UPPER DOOR, SLV",True,Active,EA,False,ET DD,,,01t6A000002ZPa3QAG
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-4554,151-4554,"KIPC2 49-55"" FRONT LOWER DOOR, SLV",True,Active,EA,False,ET DD,,,01t6A000002ZPdVQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-4555,151-4555,"KIPC2 49-55"" REAR UPPER DOOR, SLV",True,Active,EA,False,ET DD,,,01t6A000002ZPcTQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-4556,151-4556,"KIPC2 49-55"" REAR LOWER DOOR, SLV",True,Active,EA,False,ET DD,,,01t6A000002ZPbRQAW
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",151-4559,151-4559,"KIPC2 50"" FRONT UPPER DOOR, SLV",True,Active,EA,False,KIOSK,,,01tPW00000EtlhWYAR
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-4573,151-4573,"KIPC2 46-48"" REAR LOWER DOOR, SLV",True,Active,EA,False,KIOSK,,,01t2K000006S2LgQAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-6713P,151-6713P,"KIPC2 40"" 3.375"" FRONT DOOR-WHITE",True,Active,EA,False,ET DD,,,01t2K000006KDjUQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-6715P,151-6715P,"KIPC2 40-43"" 3.375"" BOTTOM DOOR -WHITE",True,Active,EA,False,ET DD,,,01t2K000006KDjVQAW
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1268,151-P1268,"BASE COVER WELDMENT, FOR KIP586-2LG/1LG, GBLK",True,Active,EA,False,KIOSK,,,01t6A000000atbVQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1274,151-P1274,"TOP PANEL, FOR KIP586-2LG/1LG  BLK",True,Active,EA,False,KIOSK,,,01t6A000000atbWQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1275,151-P1275,"SIDE PANEL WELDMENT, FOR KIP586-2LG/1LG  BLK",True,Active,EA,False,KIOSK,,,01t6A000000asAlQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-P1280P,151-P1280P,"BACK PANEL, FOR KIP586-1LG  GBLK",True,Active,EA,False,ET DD,,,01t6A000000at2ZQAQ
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-P1553,151-P1553,"KIPC2 55"" FRONT UPPER DOOR, GBLK",True,Active,EA,False,ET DD,,,01t6A000002ZvELQA0
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-P1554,151-P1554,"KIPC2 49-55"" FRONT LOWER DOOR, GBLK",True,Active,EA,False,ET DD,,,01t6A000002hRAgQAM
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-P1555,151-P1555,"KIPC2 49-55"" REAR UPPER DOOR, GBLK",True,Active,EA,False,ET DD,,,01t2K000006NWtaQAG
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1556,151-P1556,"KIPC2 49-55"" REAR LOWER DOOR, GBLK",True,Active,EA,False,KIOSK,,,01t2K000006S2GKQA0
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-P1565,151-P1565,"KIPC2 40-43"" REAR LOWER DOOR, GBLK",True,Active,EA,False,ET DD,,,01t2K000006W31jQAC
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1568,151-P1568,"KIPC2 43"" FRONT UPPER DOOR, GBLK",True,Active,EA,False,KIOSK,,,01t6A000002ZPbsQAG
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1572,151-P1572,"KIPC2 46-48"" FRONT LOWER DOOR, GBLK",True,Active,EA,False,KIOSK,,,01t2K000006S2B9QAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-P1574,151-P1574,"KIPC2 46"" FRONT UPPER DOOR, GBLK",True,Active,EA,False,ET DD,,,01t6A000003QSWTQA4
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1577,151-P1577,"KIPC2 48"" FRONT UPPER DOOR, GBLK",True,Active,EA,False,KIOSK,,,01t2K000006S2I5QAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1694,151-P1694,"KIPC2 65"" LOWER FRONT DOOR, GBLK",True,Active,EA,False,KIOSK,,,01t2K000006S2LhQAK
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1704,151-P1704,"KIPC2 55"" 3.375"" FRONT DOOR,  GBLK",True,Active,EA,False,KIOSK,,,01t2K000006W4CAQA0
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-P1707,151-P1707,"KIPC2 49-55"" 3.375 BOTTOM DOOR,  GBLK",True,Active,EA,False,KIOSK,,,01t6A000000atctQAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-T1213,151-T1213,"DISPLAY HOOK BRACKET, TBLK",True,Active,EA,False,ET DD,,,01t6A000000asjsQAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-T1557,151-T1557,"KIPC2 49-55"" REINFORCED DISPLAY BRACKET, TXTBLK",True,Active,EA,False,ET DD,,,01t2K000006NaTlQAK
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",151-T1562,151-T1562,"KIPC2 40-48"" REINFORCED DISPLAY BRACKET, TXTBLK",True,Active,EA,False,KIOSK,,,01t2K000006S2I6QAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-T1616,151-T1616,"KIPC2 49-55"" SLOTTED CROSS BRACKET, TXTBLK",True,Active,EA,False,ET DD,,,01t2K000006NaTgQAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-T1791,151-T1791,"ENCLOSURE VERT. GLASS BRACKET 42/55, TXTBLK",True,Active,EA,False,ET DD,,,01t6A000003QDLLQA4
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-T1792,151-T1792,"ENCLOSURE HORIZ. GLASS BRACKET 42/55, TXTBLK",True,Active,EA,False,ET DD,,,01t6A000003QDLMQA4
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-T1951,151-T1951,"TAB, BOLTING, KILH, TXTBLK",True,Active,EA,False,ET DD,,,01t2K000006VxKVQA0
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",151-T1955,151-T1955,"SUPPORT, VERTICAL, KILH540-43, TXTBLK",True,Active,EA,False,ET DD,,,01t6A000002ZcsKQAS
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",152-0053,152-0053,KOP2555 BASE BOLT TEMPLATE,True,Active,EA,False,ET DD,,,01t2K000006MSKMQA4
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",152-0163,152-0163,"CONCRETE ANCHOR TEMPLATE, KOF%",True,Active,EA,False,KIOSK,,,01t2K000006XM61QAG
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",152-0480,152-0480,"KOF5% 63% OPEN 304 SS PERF, INTAKE",True,Active,EA,False,KIOSK,,,01t2K000006XDCKQA4
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",152-0481,152-0481,"KOF5% 63% OPEN 304 SS PERF, EXHAUST",True,Active,EA,False,KIOSK,,,01t2K000006XDCUQA4
"UPDATE (IsActive, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",152-0542T,152-0542T,"KOP2555 DISPLAY BRACKET,  XHB552 & OH55F, V2",False,Inactive,EA,False,ET DD,,,01t2K000004ZicCQAS
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",152-1042,152-1042,"KOP2555 REAR DOOR ASY, BLK",True,Active,EA,False,ET DD,,,01t2K000006NXjWQAW
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",152-1053,152-1053,"KOP2555 BASE BOLT TEMPLATE, BLK",False,Inactive,EA,False,KIOSK,,,01t2K000006S2I7QAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",152-6101,152-6101,"CBL MALL FRONT DOOR WELDMENT, RAL7045",True,Active,EA,False,ET DD,,,01t6A000002ZPaZQAW
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_Authorization_Required__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",152-6116,152-6116,"CBL MALL LOWER DOOR WELDMENT, RAL7045",True,Active,EA,False,KIOSK,,,01t2K000006S2NXQA0
"UPDATE (Description, US_Description__c, IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",152-T1163,152-T1163,"CONCRETE ANCHOR TEMPLATE, KOF%, TBLK",True,Active,EA,False,KIOSK,,,01t2K000006S2K9QAK
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",152-T1480,152-T1480,"KOF5% 63% OPEN 304 SS PERF, INTAKE, TBLK",False,Inactive,EA,False,KIOSK,,,01t2K000006S2EfQAK
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",152-T1481,152-T1481,"KOF5% 63% OPEN 304 SS PERF, EXHAUST, TBLK",False,Inactive,EA,False,KIOSK,,,01t2K000006S2NZQA0
"UPDATE (IsActive, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",180-0620,180-0620,PYLE PFA200 AMPLIFIER 60-WATT,False,Inactive,EA,False,ET DD,,,01t6A000002Zd4HQAS
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",202-1893,202-1893,DISPLAY-MEDIA BOX ASSEMBLY BLACK,True,Active,EA,False,KIOSK,,,01t2K000004ZlpzQAC
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",210-8025,210-8025,Fastpack KIP586 LG,True,Active,EA,False,KIOSK,,,01t6A000000asAmQAI
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",38490,38490,KIP586-2LG for Synect Media Ready See Go,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006S2IGQA0
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",410-0012,410-0012,"30MMX120MM OVAL 80HM WATERPROOF, same as PUR-0023",True,Active,EA,False,KIOSK,,,01t6A000000asvMQAQ
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",410-0322,410-0322,"FAN GUARD, 80MM, 304SS",True,Active,EA,False,KIOSK,,,01tPW00000EtlhXYAR
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",41031,41031,KIPC2555-S w/ Wheeled Base,True,Active,EA,False,KIOSK,Active,KIOSK,01t2K000006XR4tQAG
INSERT,48X40 SKID W-PLATEFORM,48X40 SKID W-PLATEFORM,"48"" X 40"" SKID WITH PLATFORM (HT)",True,Active,EA,False,ET DD,,,
